index,name,type,package,watt,value,volt,precision,count,temperature_min,temperature_max,datasheet,comment
0,,resistor,2512,1,"0,01",,5,10,,,,
1,,inductor,1206,,"1,5e-6",,10,10,,,,
2,,inductor,1206,,47e-9,,5,10,,,,
3,,inductor,1206,,0.1e-6,,10,10,,,,
4,,resistor,1206,0.25,100e+3,,1,100,,,,
5,,resistor,1206,0.25,2.2,,1,100,,,,
6,,resistor,1206,0.25,205,,1,100,,,,
7,,resistor,1206,0.25,105,,1,100,,,,
8,,resistor,1206,0.25,681,,1,100,,,,
9,,resistor,1206,0.25,1000,,1,100,,,,
10,,resistor,1206,0.25,4750,,1,100,,,,
11,,resistor,1206,0.25,10.5e+3,,1,100,,,,
12,,resistor,1206,0.25,4.7,,1,100,,,,
13,,resistor,1206,0.25,48.7,,1,100,,,,
14,,resistor,1206,0.25,11,,1,100,,,,
15,,resistor,2512,1,0.51,,5,10,,,,
16,,resistor,1206,0.25,1,,1,20,,,,
17,,capacitor,1206,,10e-12,50,5,10,,,,
18,,capacitor,1206,,470e-9,50,10,10,,,,
19,,capacitor,1206,,1e-9,100,10,10,,,,
20,,capacitor,1206,,22e-12,50,5,10,,,,
21,,capacitor,1206,,100e-9,50,10,10,,,,
22,,capacitor,1206,,47e-12,50,5,10,,,,
23,,capacitor,1206,,22e-12,50,5,10,,,,
24,,capacitor,1206,,4.7e-9,50,5,10,,,,
25,,capacitor,1206,,10e-9,50,10,10,,,,
26,,capacitor,1206,,100e-12,1000,5,10,,,,
27,,capacitor,1206,,47e-9,50,10,10,,,,
28,,capacitor,1206,,680e-9,50,20,10,,,,
29,EZV010M50RA,capacitor_p,sizeA,,1e-6,50,20,5,-40,105,,
30,EZV3R3M50RA,capacitor_p,sizeA,,3.3e-6,50,20,5,-40,105,,
31,EZV101M16RC,capacitor_p,sizeC,,100e-6,16,20,5,-40,105,,
32,EZV220M50RC,capacitor_p,sizeC,,22e-6,50,20,5,-40,105,,
33,EZV470M16RC,capacitor_p,sizeC,,47e-6,16,20,5,-40,105,,
34,EZV100M50RC,capacitor_p,sizeC,,10e-6,50,20,5,-40,105,,
35,PVZ3A221C01,resistor_trim,3.6*3.1*1.85,0.1,220,,30,3,,,,
36,EVM3ESX50BQ3,resistor_trim,"3,1*3,8*1,62",0.15,4700,50,25,3,,,,
37,SR201TR,capacitor_trim," 3.2*4.5*1.5*",,4.5e-12...20e-12,100,,2,-25,85,SR201TR.pdf,